"Date","Geography","Received","Approved"
"2020-09-25","Kauai",18,40
"2020-09-25","East Hawaii",41,74
"2020-09-25","West Hawaii",25,28
"2020-09-25","Maui County",48,48
"2020-09-25","Statewide",324,452
"2020-09-26","Oahu",5,357
"2020-09-26","Kauai",3,16
"2020-09-26","East Hawaii",1,85
"2020-09-26","West Hawaii",1,51
"2020-09-26","Maui County",6,52
"2020-09-26","Statewide",16,561
"2020-09-27","Oahu",2,
"2020-09-27","Kauai",0,
"2020-09-27","East Hawaii",0,
"2020-09-27","West Hawaii",0,
"2020-09-27","Maui County",0,
"2020-09-27","Statewide",2,
"2020-09-28","Oahu",355,290
"2020-09-28","Kauai",44,43
"2020-09-28","East Hawaii",96,102
"2020-09-28","West Hawaii",62,46
"2020-09-28","Maui County",93,75
"2020-09-28","Statewide",650,556
"2020-09-29","Oahu",206,375
"2020-09-29","Kauai",43,45
"2020-09-29","East Hawaii",45,90
"2020-09-29","West Hawaii",33,42
"2020-09-29","Maui County",59,60
"2020-09-29","Statewide",386,612
"2020-09-30","Oahu",216,278
"2020-09-30","Kauai",24,32
"2020-09-30","East Hawaii",41,72
"2020-09-30","West Hawaii",39,37
"2020-09-30","Maui County",59,49
"2020-09-30","Statewide",379,468
"2020-10-01","Oahu",268,233
"2020-10-01","Kauai",42,53
"2020-10-01","East Hawaii",54,80
"2020-10-01","West Hawaii",36,30
"2020-10-01","Maui County",60,60
"2020-10-01","Statewide",460,456
"2020-10-02","Oahu",205,252
"2020-10-02","Kauai",27,35
"2020-10-02","East Hawaii",63,54
"2020-10-02","West Hawaii",33,30
"2020-10-02","Maui County",57,49
"2020-10-02","Statewide",385,420
"2020-10-03","Oahu",1,
"2020-10-03","Kauai",1,
"2020-10-03","East Hawaii",0,
"2020-10-03","West Hawaii",0,
"2020-10-03","Maui County",0,
"2020-10-03","Statewide",2,
"2020-10-04","Oahu",1,
"2020-10-04","Kauai",0,
"2020-10-04","East Hawaii",0,
"2020-10-04","West Hawaii",0,
"2020-10-04","Maui County",0,
"2020-10-04","Statewide",1,
"2020-10-05","Oahu",471,343
"2020-10-05","Kauai",65,58
"2020-10-05","East Hawaii",116,81
"2020-10-05","West Hawaii",94,39
"2020-10-05","Maui County",124,41
"2020-10-05","Statewide",870,562
"2020-10-06","Oahu",291,362
"2020-10-06","Kauai",38,37
"2020-10-06","East Hawaii",72,96
"2020-10-06","West Hawaii",58,45
"2020-10-06","Maui County",68,71
"2020-10-06","Statewide",527,611
"2020-10-07","Oahu",275,360
"2020-10-07","Kauai",35,57
"2020-10-07","East Hawaii",78,103
"2020-10-07","West Hawaii",62,61
"2020-10-07","Maui County",93,66
"2020-10-07","Statewide",543,647
"2020-10-08","Oahu",253,296
"2020-10-08","Kauai",27,92
"2020-10-08","East Hawaii",73,86
"2020-10-08","West Hawaii",51,44
"2020-10-08","Maui County",59,62
"2020-10-08","Statewide",463,580
"2020-10-09","Oahu",230,266
"2020-10-09","Kauai",23,36
"2020-10-09","East Hawaii",70,64
"2020-10-09","West Hawaii",44,33
"2020-10-09","Maui County",68,48
"2020-10-09","Statewide",435,447
"2020-10-10","Oahu",1,1
"2020-10-10","Kauai",0,0
"2020-10-10","East Hawaii",0,0
"2020-10-10","West Hawaii",0,0
"2020-10-10","Maui County",0,0
"2020-10-10","Statewide",1,1
"2020-10-12","Oahu",384,280
"2020-10-12","Kauai",41,89
"2020-10-12","East Hawaii",70,75
"2020-10-12","West Hawaii",66,44
"2020-10-12","Maui County",90,51
"2020-10-12","Statewide",651,539
"2020-10-13","Oahu",245,331
"2020-10-13","Kauai",30,100
"2020-10-13","East Hawaii",66,70
"2020-10-13","West Hawaii",39,60
"2020-10-13","Maui County",75,119
"2020-10-13","Statewide",455,680
"2020-10-14","Oahu",229,299
"2020-10-14","Kauai",32,153
"2020-10-14","East Hawaii",46,63
"2020-10-14","West Hawaii",39,51
"2020-10-14","Maui County",77,50
"2020-10-14","Statewide",423,616
"2020-10-15","Oahu",244,317
"2020-10-15","Kauai",21,92
"2020-10-15","East Hawaii",46,69
"2020-10-15","West Hawaii",44,64
"2020-10-15","Maui County",76,68
"2020-10-15","Statewide",431,610
"2020-10-16","Oahu",213,321
"2020-10-16","Kauai",20,51
"2020-10-16","East Hawaii",45,88
"2020-10-16","West Hawaii",38,51
"2020-10-16","Maui County",64,71
"2020-10-16","Statewide",380,582
"2020-10-17","Oahu",13,4679
"2020-10-17","Kauai",0,10
"2020-10-17","East Hawaii",3,1391
"2020-10-17","West Hawaii",3,618
"2020-10-17","Maui County",3,828
"2020-10-17","Statewide",22,7526
"2020-10-18","Oahu",2,
"2020-10-18","Kauai",0,
"2020-10-18","East Hawaii",0,
"2020-10-18","West Hawaii",0,
"2020-10-18","Maui County",0,
"2020-10-18","Statewide",2,
"2020-10-19","Oahu",382,429
"2020-10-19","Kauai",39,20
"2020-10-19","East Hawaii",87,152
"2020-10-19","West Hawaii",62,70
"2020-10-19","Maui County",113,104
"2020-10-19","Statewide",683,775
"2020-10-20","Oahu",215,478
"2020-10-20","Kauai",18,32
"2020-10-20","East Hawaii",46,153
"2020-10-20","West Hawaii",31,59
"2020-10-20","Maui County",61,131
"2020-10-20","Statewide",371,853
"2020-10-21","Oahu",198,490
"2020-10-21","Kauai",26,26
"2020-10-21","East Hawaii",38,174
"2020-10-21","West Hawaii",34,106
"2020-10-21","Maui County",65,166
"2020-10-21","Statewide",361,962
"2020-10-22","Oahu",186,446
"2020-10-22","Kauai",27,27
"2020-10-22","East Hawaii",54,162
"2020-10-22","West Hawaii",45,69
"2020-10-22","Maui County",41,116
"2020-10-22","Statewide",353,820
"2020-10-23","Oahu",159,419
"2020-10-23","Kauai",17,14
"2020-10-23","East Hawaii",43,140
"2020-10-23","West Hawaii",23,55
"2020-10-23","Maui County",51,106
"2020-10-23","Statewide",293,734
"2020-10-25","Oahu",1,
"2020-10-25","Kauai",0,
"2020-10-25","East Hawaii",0,
"2020-10-25","West Hawaii",0,
"2020-10-25","Maui County",0,
"2020-10-25","Statewide",1,
"2020-10-26","Oahu",325,306
"2020-10-26","Kauai",24,15
"2020-10-26","East Hawaii",80,52
"2020-10-26","West Hawaii",52,70
"2020-10-26","Maui County",93,81
"2020-10-26","Statewide",574,524
"2020-10-27","Oahu",187,243
"2020-10-27","Kauai",19,13
"2020-10-27","East Hawaii",39,45
"2020-10-27","West Hawaii",22,30
"2020-10-27","Maui County",35,71
"2020-10-27","Statewide",302,402
"2020-10-28","Oahu",148,247
"2020-10-28","Kauai",18,25
"2020-10-28","East Hawaii",27,67
"2020-10-28","West Hawaii",15,34
"2020-10-28","Maui County",41,58
"2020-10-28","Statewide",249,431
"2020-10-29","Oahu",121,245
"2020-10-29","Kauai",13,11
"2020-10-29","East Hawaii",18,128
"2020-10-29","West Hawaii",29,28
"2020-10-29","Maui County",37,72
"2020-10-29","Statewide",218,484
"2020-10-30","Oahu",192,218
"2020-10-30","Kauai",8,22
"2020-10-30","East Hawaii",43,62
"2020-10-30","West Hawaii",22,29
"2020-10-30","Maui County",45,56
"2020-10-30","Statewide",310,387
"2020-10-31","Oahu",0,
"2020-10-31","Kauai",0,
"2020-10-31","East Hawaii",0,
"2020-10-31","West Hawaii",0,
"2020-10-31","Maui County",1,
"2020-10-31","Statewide",1,
"2020-11-01","Oahu",4,
"2020-11-01","Kauai",0,
"2020-11-01","East Hawaii",1,
"2020-11-01","West Hawaii",0,
"2020-11-01","Maui County",0,
"2020-11-01","Statewide",5,
"2020-11-02","Oahu",205,198
"2020-11-02","Kauai",26,13
"2020-11-02","East Hawaii",51,56
"2020-11-02","West Hawaii",22,33
"2020-11-02","Maui County",40,50
"2020-11-02","Statewide",344,350
"2020-11-03","Oahu",3,
"2020-11-03","Kauai",0,
"2020-11-03","East Hawaii",0,
"2020-11-03","West Hawaii",1,
"2020-11-03","Maui County",1,
"2020-11-03","Statewide",5,
"2020-11-04","Oahu",375,226
"2020-11-04","Kauai",32,16
"2020-11-04","East Hawaii",70,66
"2020-11-04","West Hawaii",54,29
"2020-11-04","Maui County",90,64
"2020-11-04","Statewide",621,401
"2020-11-05","Oahu",228,180
"2020-11-05","Kauai",20,21
"2020-11-05","East Hawaii",52,33
"2020-11-05","West Hawaii",31,13
"2020-11-05","Maui County",67,54
"2020-11-05","Statewide",398,301
"2020-11-06","Oahu",218,164
"2020-11-06","Kauai",23,21
"2020-11-06","East Hawaii",46,31
"2020-11-06","West Hawaii",22,29
"2020-11-06","Maui County",66,43
"2020-11-06","Statewide",375,288
"2020-11-08","Oahu",0,
"2020-11-08","Kauai",0,
"2020-11-08","East Hawaii",0,
"2020-11-08","West Hawaii",0,
"2020-11-08","Maui County",1,
"2020-11-08","Statewide",1,
"2020-11-09","Oahu",393,182
"2020-11-09","Kauai",40,18
"2020-11-09","East Hawaii",88,36
"2020-11-09","West Hawaii",45,27
"2020-11-09","Maui County",92,59
"2020-11-09","Statewide",658,322
"2020-11-10","Oahu",194,174
"2020-11-10","Kauai",24,16
"2020-11-10","East Hawaii",47,30
"2020-11-10","West Hawaii",31,21
"2020-11-10","Maui County",52,48
"2020-11-10","Statewide",348,289
"2020-11-11","Oahu",2,
"2020-11-11","Kauai",0,
"2020-11-11","East Hawaii",0,
"2020-11-11","West Hawaii",0,
"2020-11-11","Maui County",1,
"2020-11-11","Statewide",3,
"2020-11-12","Oahu",321,193
"2020-11-12","Kauai",45,14
"2020-11-12","East Hawaii",69,52
"2020-11-12","West Hawaii",56,28
"2020-11-12","Maui County",100,81
"2020-11-12","Statewide",591,368
"2020-11-13","Oahu",185,150
"2020-11-13","Kauai",31,21
"2020-11-13","East Hawaii",33,23
"2020-11-13","West Hawaii",28,15
"2020-11-13","Maui County",53,38
"2020-11-13","Statewide",330,247
"2020-11-14","Oahu",1,
"2020-11-14","Kauai",0,
"2020-11-14","East Hawaii",0,
"2020-11-14","West Hawaii",0,
"2020-11-14","Maui County",0,
"2020-11-14","Statewide",1,
"2020-11-16","Oahu",322,139
"2020-11-16","Kauai",45,24
"2020-11-16","East Hawaii",84,41
"2020-11-16","West Hawaii",41,18
"2020-11-16","Maui County",116,51
"2020-11-16","Statewide",608,273
"2020-11-17","Oahu",172,200
"2020-11-17","Kauai",24,21
"2020-11-17","East Hawaii",34,47
"2020-11-17","West Hawaii",26,28
"2020-11-17","Maui County",47,48
"2020-11-17","Statewide",303,344
"2020-11-18","Oahu",221,182
"2020-11-18","Kauai",17,21
"2020-11-18","East Hawaii",36,50
"2020-11-18","West Hawaii",24,24
"2020-11-18","Maui County",54,56
"2020-11-18","Statewide",352,333
"2020-11-19","Oahu",187,181
"2020-11-19","Kauai",23,29
"2020-11-19","East Hawaii",43,34
"2020-11-19","West Hawaii",32,36
"2020-11-19","Maui County",51,51
"2020-11-19","Statewide",336,331
"2020-11-20","Oahu",155,117
"2020-11-20","Kauai",17,13
"2020-11-20","East Hawaii",30,23
"2020-11-20","West Hawaii",29,17
"2020-11-20","Maui County",58,25
"2020-11-20","Statewide",289,195
"2020-11-21","Oahu",1,
"2020-11-21","Kauai",0,
"2020-11-21","East Hawaii",0,
"2020-11-21","West Hawaii",0,
"2020-11-21","Maui County",0,
"2020-11-21","Statewide",1,
"2020-11-23","Oahu",298,144
"2020-11-23","Kauai",28,11
"2020-11-23","East Hawaii",65,36
"2020-11-23","West Hawaii",56,28
"2020-11-23","Maui County",73,37
"2020-11-23","Statewide",520,256
"2020-11-24","Oahu",186,144
"2020-11-24","Kauai",18,9
"2020-11-24","East Hawaii",37,33
"2020-11-24","West Hawaii",19,22
"2020-11-24","Maui County",49,41
"2020-11-24","Statewide",309,249
"2020-11-25","Oahu",167,133
"2020-11-25","Kauai",11,10
"2020-11-25","East Hawaii",28,33
"2020-11-25","West Hawaii",17,15
"2020-11-25","Maui County",38,38
"2020-11-25","Statewide",261,229
"2020-11-26","Oahu",1,
"2020-11-26","Kauai",0,
"2020-11-26","East Hawaii",0,
"2020-11-26","West Hawaii",0,
"2020-11-26","Maui County",0,
"2020-11-26","Statewide",1,
"2020-11-27","Oahu",126,94
"2020-11-27","Kauai",14,8
"2020-11-27","East Hawaii",22,19
"2020-11-27","West Hawaii",18,14
"2020-11-27","Maui County",24,16
"2020-11-27","Statewide",204,151
"2020-11-29","Oahu",1,
"2020-11-29","Kauai",0,
"2020-11-29","East Hawaii",0,
"2020-11-29","West Hawaii",0,
"2020-11-29","Maui County",1,
"2020-11-29","Statewide",2,
"2020-11-30","Oahu",294,104
"2020-11-30","Kauai",36,11
"2020-11-30","East Hawaii",69,32
"2020-11-30","West Hawaii",26,17
"2020-11-30","Maui County",67,29
"2020-11-30","Statewide",492,193
"2020-12-01","Oahu",187,143
"2020-12-01","Kauai",21,8
"2020-12-01","East Hawaii",40,34
"2020-12-01","West Hawaii",26,15
"2020-12-01","Maui County",48,26
"2020-12-01","Statewide",322,226
"2020-12-02","Oahu",195,104
"2020-12-02","Kauai",17,14
"2020-12-02","East Hawaii",35,26
"2020-12-02","West Hawaii",29,15
"2020-12-02","Maui County",51,36
"2020-12-02","Statewide",327,195
"2020-12-03","Oahu",189,127
"2020-12-03","Kauai",21,9
"2020-12-03","East Hawaii",42,26
"2020-12-03","West Hawaii",23,12
"2020-12-03","Maui County",57,26
"2020-12-03","Statewide",332,200
"2020-12-04","Oahu",172,101
"2020-12-04","Kauai",28,9
"2020-12-04","East Hawaii",35,21
"2020-12-04","West Hawaii",19,10
"2020-12-04","Maui County",51,31
"2020-12-04","Statewide",305,172
"2020-12-05","Oahu",1,1
"2020-12-05","Kauai",0,0
"2020-12-05","East Hawaii",0,0
"2020-12-05","West Hawaii",0,0
"2020-12-05","Maui County",0,0
"2020-12-05","Statewide",1,1
"2020-12-07","Oahu",307,126
"2020-12-07","Kauai",36,12
"2020-12-07","East Hawaii",70,30
"2020-12-07","West Hawaii",58,21
"2020-12-07","Maui County",83,54
"2020-12-07","Statewide",554,243
"2020-12-08","Oahu",183,120
"2020-12-08","Kauai",27,15
"2020-12-08","East Hawaii",36,23
"2020-12-08","West Hawaii",24,28
"2020-12-08","Maui County",48,26
"2020-12-08","Statewide",318,212
"2020-12-09","Oahu",161,127
"2020-12-09","Kauai",14,5
"2020-12-09","East Hawaii",29,18
"2020-12-09","West Hawaii",29,14
"2020-12-09","Maui County",60,26
"2020-12-09","Statewide",293,190
"2020-12-10","Oahu",158,87
"2020-12-10","Kauai",15,15
"2020-12-10","East Hawaii",31,21
"2020-12-10","West Hawaii",23,16
"2020-12-10","Maui County",47,29
"2020-12-10","Statewide",274,168
"2020-12-11","Oahu",162,78
"2020-12-11","Kauai",14,7
"2020-12-11","East Hawaii",26,20
"2020-12-11","West Hawaii",24,14
"2020-12-11","Maui County",31,33
"2020-12-11","Statewide",257,152
"2020-12-13","Oahu",1,
"2020-12-13","Kauai",0,
"2020-12-13","East Hawaii",0,
"2020-12-13","West Hawaii",0,
"2020-12-13","Maui County",0,
"2020-12-13","Statewide",1,
"2020-12-14","Oahu",252,105
"2020-12-14","Kauai",19,16
"2020-12-14","East Hawaii",65,28
"2020-12-14","West Hawaii",36,14
"2020-12-14","Maui County",97,27
"2020-12-14","Statewide",469,190
"2020-12-15","Oahu",169,108
"2020-12-15","Kauai",21,11
"2020-12-15","East Hawaii",22,26
"2020-12-15","West Hawaii",15,16
"2020-12-15","Maui County",43,33
"2020-12-15","Statewide",270,194
"2020-12-16","Oahu",141,97
"2020-12-16","Kauai",21,10
"2020-12-16","East Hawaii",33,20
"2020-12-16","West Hawaii",19,8
"2020-12-16","Maui County",36,27
"2020-12-16","Statewide",250,162
"2020-12-17","Oahu",147,93
"2020-12-17","Kauai",21,14
"2020-12-17","East Hawaii",24,23
"2020-12-17","West Hawaii",15,14
"2020-12-17","Maui County",43,16
"2020-12-17","Statewide",250,160
"2020-12-18","Oahu",108,64
"2020-12-18","Kauai",8,9
"2020-12-18","East Hawaii",37,28
"2020-12-18","West Hawaii",19,11
"2020-12-18","Maui County",42,35
"2020-12-18","Statewide",214,147
"2020-12-20","Oahu",3,
"2020-12-20","Kauai",0,
"2020-12-20","East Hawaii",0,
"2020-12-20","West Hawaii",0,
"2020-12-20","Maui County",0,
"2020-12-20","Statewide",3,
"2020-12-21","Oahu",221,84
"2020-12-21","Kauai",23,4
"2020-12-21","East Hawaii",48,20
"2020-12-21","West Hawaii",28,18
"2020-12-21","Maui County",63,18
"2020-12-21","Statewide",383,144
"2020-12-22","Oahu",133,90
"2020-12-22","Kauai",23,7
"2020-12-22","East Hawaii",25,19
"2020-12-22","West Hawaii",17,13
"2020-12-22","Maui County",35,31
"2020-12-22","Statewide",233,160
"2020-12-23","Oahu",106,97
"2020-12-23","Kauai",12,9
"2020-12-23","East Hawaii",28,20
"2020-12-23","West Hawaii",12,11
"2020-12-23","Maui County",24,18
"2020-12-23","Statewide",182,155
"2020-12-24","Oahu",70,66
"2020-12-24","Kauai",5,4
"2020-12-24","East Hawaii",12,12
"2020-12-24","West Hawaii",2,8
"2020-12-24","Maui County",14,8
"2020-12-24","Statewide",103,98
"2020-12-26","Oahu",2,
"2020-12-26","Kauai",0,
"2020-12-26","East Hawaii",0,
"2020-12-26","West Hawaii",0,
"2020-12-26","Maui County",0,
"2020-12-26","Statewide",2,
"2020-12-28","Oahu",265,82
"2020-12-28","Kauai",30,13
"2020-12-28","East Hawaii",52,23
"2020-12-28","West Hawaii",21,8
"2020-12-28","Maui County",64,23
"2020-12-28","Statewide",432,149
"2020-12-29","Oahu",133,103
"2020-12-29","Kauai",17,11
"2020-12-29","East Hawaii",34,34
"2020-12-29","West Hawaii",16,13
"2020-12-29","Maui County",40,28
"2020-12-29","Statewide",240,189
"2020-12-30","Oahu",138,65
"2020-12-30","Kauai",17,6
"2020-12-30","East Hawaii",33,20
"2020-12-30","West Hawaii",15,9
"2020-12-30","Maui County",38,13
"2020-12-30","Statewide",241,113
"2020-12-31","Oahu",100,55
"2020-12-31","Kauai",11,9
"2020-12-31","East Hawaii",28,16
"2020-12-31","West Hawaii",16,9
"2020-12-31","Maui County",26,19
"2020-12-31","Statewide",181,108
"2021-01-01","Oahu",12,
"2021-01-01","Kauai",2,
"2021-01-01","East Hawaii",2,
"2021-01-01","West Hawaii",0,
"2021-01-01","Maui County",3,
"2021-01-01","Statewide",19,
"2021-01-02","Oahu",0,
"2021-01-02","Kauai",0,
"2021-01-02","East Hawaii",0,
"2021-01-02","West Hawaii",0,
"2021-01-02","Maui County",1,
"2021-01-02","Statewide",1,
"2021-01-04","Oahu",307,77
"2021-01-04","Kauai",56,6
"2021-01-04","East Hawaii",76,18
"2021-01-04","West Hawaii",63,9
"2021-01-04","Maui County",106,11
"2021-01-04","Statewide",608,121
"2021-01-05","Oahu",175,111
"2021-01-05","Kauai",38,26
"2021-01-05","East Hawaii",48,31
"2021-01-05","West Hawaii",26,24
"2021-01-05","Maui County",43,36
"2021-01-05","Statewide",330,228
"2021-01-06","Oahu",195,115
"2021-01-06","Kauai",27,16
"2021-01-06","East Hawaii",38,34
"2021-01-06","West Hawaii",19,18
"2021-01-06","Maui County",38,43
"2021-01-06","Statewide",317,226
"2021-01-07","Oahu",193,131
"2021-01-07","Kauai",23,15
"2021-01-07","East Hawaii",25,22
"2021-01-07","West Hawaii",19,19
"2021-01-07","Maui County",39,32
"2021-01-07","Statewide",299,219
"2021-01-08","Oahu",135,95
"2021-01-08","Kauai",26,13
"2021-01-08","East Hawaii",35,20
"2021-01-08","West Hawaii",14,9
"2021-01-08","Maui County",42,21
"2021-01-08","Statewide",252,158
"2021-01-11","Oahu",280,76
"2021-01-11","Kauai",30,10
"2021-01-11","East Hawaii",64,16
"2021-01-11","West Hawaii",45,12
"2021-01-11","Maui County",111,27
"2021-01-11","Statewide",530,141
"2021-01-12","Oahu",169,103
"2021-01-12","Kauai",17,16
"2021-01-12","East Hawaii",33,21
"2021-01-12","West Hawaii",29,12
"2021-01-12","Maui County",58,27
"2021-01-12","Statewide",306,179
"2021-01-13","Oahu",166,112
"2021-01-13","Kauai",24,9
"2021-01-13","East Hawaii",30,23
"2021-01-13","West Hawaii",23,24
"2021-01-13","Maui County",47,29
"2021-01-13","Statewide",290,197
"2021-01-14","Oahu",165,100
"2021-01-14","Kauai",15,4
"2021-01-14","East Hawaii",33,22
"2021-01-14","West Hawaii",16,9
"2021-01-14","Maui County",39,23
"2021-01-14","Statewide",268,158
"2021-01-15","Oahu",149,89
"2021-01-15","Kauai",21,15
"2021-01-15","East Hawaii",36,22
"2021-01-15","West Hawaii",25,6
"2021-01-15","Maui County",57,27
"2021-01-15","Statewide",288,159
"2021-01-17","Oahu",2,
"2021-01-17","Kauai",0,
"2021-01-17","East Hawaii",0,
"2021-01-17","West Hawaii",1,
"2021-01-17","Maui County",0,
"2021-01-17","Statewide",3,
"2021-01-19","Oahu",416,73
"2021-01-19","Kauai",65,15
"2021-01-19","East Hawaii",89,24
"2021-01-19","West Hawaii",54,18
"2021-01-19","Maui County",114,23
"2021-01-19","Statewide",738,153
"2021-01-20","Oahu",196,104
"2021-01-20","Kauai",27,12
"2021-01-20","East Hawaii",47,32
"2021-01-20","West Hawaii",19,11
"2021-01-20","Maui County",46,26
"2021-01-20","Statewide",335,185
"2021-01-21","Oahu",178,110
"2021-01-21","Kauai",30,16
"2021-01-21","East Hawaii",29,27
"2021-01-21","West Hawaii",27,6
"2021-01-21","Maui County",32,40
"2021-01-21","Statewide",296,199
"2021-01-22","Oahu",190,105
"2021-01-22","Kauai",32,19
"2021-01-22","East Hawaii",42,30
"2021-01-22","West Hawaii",37,17
"2021-01-22","Maui County",52,33
"2021-01-22","Statewide",353,204
"2021-01-24","Oahu",0,
"2021-01-24","Kauai",0,
"2021-01-24","East Hawaii",0,
"2021-01-24","West Hawaii",0,
"2021-01-24","Maui County",1,
"2021-01-24","Statewide",1,
"2021-01-25","Oahu",391,97
"2021-01-25","Kauai",77,16
"2021-01-25","East Hawaii",77,18
"2021-01-25","West Hawaii",49,14
"2021-01-25","Maui County",106,30
"2021-01-25","Statewide",700,175
"2021-01-26","Oahu",206,107
"2021-01-26","Kauai",24,32
"2021-01-26","East Hawaii",48,29
"2021-01-26","West Hawaii",33,10
"2021-01-26","Maui County",54,45
"2021-01-26","Statewide",365,223
"2021-01-27","Oahu",182,107
"2021-01-27","Kauai",29,25
"2021-01-27","East Hawaii",31,30
"2021-01-27","West Hawaii",26,16
"2021-01-27","Maui County",66,35
"2021-01-27","Statewide",334,213
"2021-01-28","Oahu",195,109
"2021-01-28","Kauai",25,15
"2021-01-28","East Hawaii",35,18
"2021-01-28","West Hawaii",29,14
"2021-01-28","Maui County",48,29
"2021-01-28","Statewide",332,185
"2021-01-29","Oahu",125,92
"2021-01-29","Kauai",22,11
"2021-01-29","East Hawaii",32,21
"2021-01-29","West Hawaii",27,11
"2021-01-29","Maui County",30,20
"2021-01-29","Statewide",236,155
"2021-02-01","Oahu",308,76
"2021-02-01","Kauai",50,22
"2021-02-01","East Hawaii",46,17
"2021-02-01","West Hawaii",45,13
"2021-02-01","Maui County",86,26
"2021-02-01","Statewide",535,154
"2021-02-02","Oahu",180,127
"2021-02-02","Kauai",16,29
"2021-02-02","East Hawaii",37,23
"2021-02-02","West Hawaii",35,19
"2021-02-02","Maui County",41,27
"2021-02-02","Statewide",309,225
"2021-02-03","Oahu",170,105
"2021-02-03","Kauai",31,27
"2021-02-03","East Hawaii",34,28
"2021-02-03","West Hawaii",33,15
"2021-02-03","Maui County",53,29
"2021-02-03","Statewide",321,204
"2021-02-04","Oahu",159,98
"2021-02-04","Kauai",27,8
"2021-02-04","East Hawaii",37,33
"2021-02-04","West Hawaii",32,19
"2021-02-04","Maui County",57,29
"2021-02-04","Statewide",312,187
"2021-02-05","Oahu",153,115
"2021-02-05","Kauai",20,18
"2021-02-05","East Hawaii",40,29
"2021-02-05","West Hawaii",17,27
"2021-02-05","Maui County",48,27
"2021-02-05","Statewide",278,216
"2021-02-08","Oahu",287,98
"2021-02-08","Kauai",41,13
"2021-02-08","East Hawaii",44,20
"2021-02-08","West Hawaii",44,15
"2021-02-08","Maui County",82,23
"2021-02-08","Statewide",498,169
"2021-02-09","Oahu",163,103
"2021-02-09","Kauai",32,18
"2021-02-09","East Hawaii",43,33
"2021-02-09","West Hawaii",26,21
"2021-02-09","Maui County",42,45
"2021-02-09","Statewide",306,220
"2021-02-10","Oahu",167,116
"2021-02-10","Kauai",20,17
"2021-02-10","East Hawaii",28,25
"2021-02-10","West Hawaii",17,22
"2021-02-10","Maui County",29,50
"2021-02-10","Statewide",261,230
"2021-02-11","Oahu",142,110
"2021-02-11","Kauai",18,23
"2021-02-11","East Hawaii",35,23
"2021-02-11","West Hawaii",18,22
"2021-02-11","Maui County",44,33
"2021-02-11","Statewide",257,211
"2021-02-12","Oahu",143,110
"2021-02-12","Kauai",15,21
"2021-02-12","East Hawaii",23,17
"2021-02-12","West Hawaii",21,12
"2021-02-12","Maui County",38,31
"2021-02-12","Statewide",240,191
"2021-02-13","Oahu",0,
"2021-02-13","Kauai",0,
"2021-02-13","East Hawaii",0,
"2021-02-13","West Hawaii",0,
"2021-02-13","Maui County",1,
"2021-02-13","Statewide",1,
"2021-02-15","Oahu",1,
"2021-02-15","Kauai",0,
"2021-02-15","East Hawaii",0,
"2021-02-15","West Hawaii",0,
"2021-02-15","Maui County",0,
"2021-02-15","Statewide",1,
"2021-02-16","Oahu",334,85
"2021-02-16","Kauai",33,11
"2021-02-16","East Hawaii",64,17
"2021-02-16","West Hawaii",41,13
"2021-02-16","Maui County",104,28
"2021-02-16","Statewide",576,154
"2021-02-17","Oahu",178,98
"2021-02-17","Kauai",28,8
"2021-02-17","East Hawaii",31,32
"2021-02-17","West Hawaii",19,13
"2021-02-17","Maui County",28,18
"2021-02-17","Statewide",284,169
"2021-02-18","Oahu",130,145
"2021-02-18","Kauai",28,22
"2021-02-18","East Hawaii",26,26
"2021-02-18","West Hawaii",14,14
"2021-02-18","Maui County",56,43
"2021-02-18","Statewide",254,250
"2021-02-19","Oahu",170,96
"2021-02-19","Kauai",23,11
"2021-02-19","East Hawaii",26,22
"2021-02-19","West Hawaii",13,10
"2021-02-19","Maui County",28,22
"2021-02-19","Statewide",260,161
"2021-02-22","Oahu",250,93
"2021-02-22","Kauai",42,15
"2021-02-22","East Hawaii",52,27
"2021-02-22","West Hawaii",27,15
"2021-02-22","Maui County",65,17
"2021-02-22","Statewide",436,167
"2021-02-23","Oahu",138,143
"2021-02-23","Kauai",12,10
"2021-02-23","East Hawaii",17,19
"2021-02-23","West Hawaii",11,11
"2021-02-23","Maui County",31,21
"2021-02-23","Statewide",209,204
"2021-02-24","Oahu",117,129
"2021-02-24","Kauai",12,7
"2021-02-24","East Hawaii",23,45
"2021-02-24","West Hawaii",17,13
"2021-02-24","Maui County",25,19
"2021-02-24","Statewide",194,213
"2021-02-25","Oahu",127,97
"2021-02-25","Kauai",10,11
"2021-02-25","East Hawaii",36,21
"2021-02-25","West Hawaii",14,11
"2021-02-25","Maui County",23,26
"2021-02-25","Statewide",210,166
"2021-02-26","Oahu",193,93
"2021-02-26","Kauai",12,5
"2021-02-26","East Hawaii",20,9
"2021-02-26","West Hawaii",19,12
"2021-02-26","Maui County",38,36
"2021-02-26","Statewide",282,155
"2021-02-28","Oahu",1,
"2021-02-28","Kauai",0,
"2021-02-28","East Hawaii",0,
"2021-02-28","West Hawaii",0,
"2021-02-28","Maui County",0,
"2021-02-28","Statewide",1,
"2021-03-01","Oahu",294,83
"2021-03-01","Kauai",39,11
"2021-03-01","East Hawaii",58,11
"2021-03-01","West Hawaii",39,13
"2021-03-01","Maui County",78,21
"2021-03-01","Statewide",508,139
"2021-03-02","Oahu",145,83
"2021-03-02","Kauai",15,11
